姓名,性别,年龄,财富值_人民币/亿元,排名变化,企业信息,所在行业
俞发祥,先生,52,140,67,祥源控股,基础设施建设、房地产
蔡华波,先生,47,135,194,江波龙,半导体
丁立国家族,先生,53,135,-7,德龙,钢铁、天然气
傅光明家族,先生,69,135,4,圣农,农业
龚俊龙家族,先生,64,135,-28,恒裕,房地产、投资
黄达文,先生,63,135,-91,合盛,硅材料
黄绍武,先生,53,135,4,神州通,投资
黄世再家族,先生,72,135,-28,大中华地产,房地产
李如成、李寒穷父女,先生,72,135,111,雅戈尔,服装、房地产、投资
李晓华家族,先生,61,135,-272,恩捷股份,包装盒生产
梁光伟,先生,60,135,-56,华强,投资
林定强家族,先生,57,135,-7,金辉,房地产
刘卫平,先生,44,135,-176,卫龙,食品
孙孟全家族,先生,73,135,-71,鲁花,食用油
汪林朋,先生,54,135,-56,居然之家,家居建材
王俊民、申萍夫妇,先生,55,135,87,海思科,医药
吴绪顺家族,先生,75,135,46,三七互娱,网络游戏
杨建良家族,先生,54,135,-258,弘元绿能,光伏设备
叶国一家族,先生,82,135,417,英业达,电脑产品
叶琼玖,先生,69,135,467,同花顺,软件
易大盛,先生,62,135,46,富兴,汽车服务，产业园区
俞敏洪,先生,61,135,362,新东方,教育
袁志敏、熊海涛夫妇,先生,62,135,-28,金发科技,化工塑料
张国涛、卢依雯夫妇,先生,38,135,-118,迪阿,珠宝首饰
张力、张量父子,先生,70,135,-131,富力地产,房地产
郑坚江,先生,62,135,137,奥克斯,家电、房地产
周耀庭家族,先生,80,135,-56,红豆,服装、橡胶轮胎、房地产
陈刚、欧春连夫妇,先生,55,130,288,爱旭股份,太阳能电池
赖建法,先生,54,130,-24,中通,快递
李明、杜楠夫妇,先生,55,130,59,亚特,投资、有色金属
刘程宇、刘玲夫妇,先生,61,130,-68,科士达,电力设备
吕慧、陈宁宁母女,先生,74,130,-24,嘉鑫,钢铁、铁矿石进出口、房地产
秦荣华,先生,65,130,59,敏实,汽车零部件
任建华,先生,66,130,39,老板电器,家用电器
王秋雄家族,先生,80,130,18,丰泰,服装
许英灼,先生,58,130,-68,海大,饲料
薛向东家族,先生,64,130,83,东华软件,软件与信息服务
叶小平,先生,60,130,-146,泰格医药,医药
俞熔,先生,52,130,18,美年健康,医疗服务
张传卫家族,先生,61,130,-35,明阳智能,新能源
张毓强家族,先生,68,130,59,振石控股,房地产、矿产
邹支农家族,先生,55,130,New ~,天孚通信,通信设备
陈爱莲、吴良定夫妇,先生,65,125,-84,万丰,智能制造、投资
陈康平,先生,50,125,67,晶科能源,太阳能
陈一丹,先生,52,125,-40,腾讯,互联网服务
樊铮,先生,44,125,New ~,理想汽车,新能源汽车
郭振宇、Kevin Guo父子,先生,60,125,-175,贝泰妮,护肤品
胡荣达、胡淇翔父子,先生,64,125,150,三美化工,化工
焦佑伦家族,先生,65,125,New ~,华新丽华,半导体
李国强,先生,59,125,-115,中升控股,汽车销售
