排名1,财富值_人民币/亿元,排名变化,个人信息3,性别,年龄,公司名称,所在行业
427,135,-272,李晓华家族,先生,61,恩捷股份,包装盒生产
427,135,-56,梁光伟,先生,60,华强,投资
427,135,-7,林定强家族,先生,57,金辉,房地产
427,135,-176,刘卫平,先生,44,卫龙,食品
427,135,-71,孙孟全家族,先生,73,鲁花,食用油
427,135,-56,汪林朋,先生,54,居然之家,家居建材
427,135,46,吴绪顺家族,先生,75,三七互娱,网络游戏
427,135,-258,杨建良家族,先生,54,弘元绿能,光伏设备
427,135,417,叶国一家族,先生,82,英业达,电脑产品
427,135,467,叶琼玖,先生,69,同花顺,软件
427,135,46,易大盛,先生,62,富兴,汽车服务，产业园区
427,135,362,俞敏洪,先生,61,新东方,教育
427,135,137,郑坚江,先生,62,奥克斯,家电、房地产
427,135,-56,周耀庭家族,先生,80,红豆,服装、橡胶轮胎、房地产
455,130,-24,赖建法,先生,54,中通,快递
455,130,59,秦荣华,先生,65,敏实,汽车零部件
455,130,39,任建华,先生,66,老板电器,家用电器
455,130,18,王秋雄家族,先生,80,丰泰,服装
455,130,-68,许英灼,先生,58,海大,饲料
455,130,83,薛向东家族,先生,64,东华软件,软件与信息服务
455,130,-146,叶小平,先生,60,泰格医药,医药
455,130,18,俞熔,先生,52,美年健康,医疗服务
455,130,-35,张传卫家族,先生,61,明阳智能,新能源
455,130,59,张毓强家族,先生,68,振石控股,房地产、矿产
455,130,New ~,邹支农家族,先生,55,天孚通信,通信设备
471,125,67,陈康平,先生,50,晶科能源,太阳能
471,125,-40,陈一丹,先生,52,腾讯,互联网服务
471,125,New ~,樊铮,先生,44,理想汽车,新能源汽车
471,125,New ~,焦佑伦家族,先生,65,华新丽华,半导体
471,125,-115,李国强,先生,59,中升控股,汽车销售
471,125,119,林耀英家族,先生,90,大立光,电子元件
471,125,656,邱文生,先生,未知,华勤技术,消费电子
471,125,43,尚吉永,先生,55,万达控股,轮胎、电缆、化工
471,125,-51,邵根伙,先生,58,大北农,饲料、种业
471,125,-72,石毅峰,先生,49,爱美客,生物制药
471,125,23,唐修国,先生,60,三一,重型机械
471,125,-14,王林祥,先生,72,鄂尔多斯,羊绒、煤电、冶金、房地产
471,125,23,王文默,先生,67,安踏,体育用品
471,125,New ~,肖安江,先生,60,五江轻化,钛合金、保温容器
471,125,New ~,肖自江,先生,73,五江轻化,钛合金、保温容器
471,125,189,姚奎章,先生,58,养元饮品,饮料
471,125,23,袁志伦,先生,59,博赛矿业,矿业
492,120,-61,陈先保家族,先生,64,华泰,农副食品加工业
492,120,-231,董凡,先生,53,健帆生物,生物医疗设备
492,120,72,董伟,先生,52,恒瑞,医药
492,120,2,金惠明家族,先生,70,大华,房地产
492,120,-196,赖建平,先生,未知,海天味业,调味品
492,120,-105,李妙行,先生,未知,老干妈,食品
492,120,-61,李宁,先生,60,李宁,体育用品、投资
492,120,22,李湘平,先生,未知,东明石化,石油化工
492,120,-61,励民,先生,58,瑞芯微,集成电路
492,120,22,梁亮胜,先生,72,丝宝,日化、投资
492,120,-19,梅志明,先生,51,普洛斯,物流地产、投资
492,120,72,潘政民家族,先生,56,瑞声科技,消费电子精密件
492,120,-205,孙宏斌,先生,60,融创,房地产
492,120,22,吴美蓉家族,先生,63,美科股份,太阳能设备
492,120,-35,吴志刚家族,先生,88,桃李面包,食品
492,120,72,伍伟国家族,先生,53,美心,餐饮
492,120,-35,徐新,先生,57,今日资本,投资
492,120,22,徐振华,先生,44,沐瞳科技,游戏
492,120,98,闫希军家族,先生,70,天士力,医药
492,120,-19,严健军,先生,58,致达,信息、金融、投资
492,120,46,余竹云,先生,50,中环控股,建筑工程
492,120,-61,俞其兵,先生,58,旗滨,玻璃
492,120,-35,郁国祥,先生,53,乐游科技,投资
492,120,-19,张宁,女士,49,彤程新材,化工原料
492,120,-156,郑春颖,先生,未知,伽蓝,化妆品
492,120,22,周敬良,先生,73,景田,饮料
521,115,-122,曹建伟,先生,45,晶盛机电,机电设备
521,115,182,柯桂华,先生,58,科博达,汽车电子产品
521,115,-122,李贵山,先生,未知,老干妈,食品
521,115,142,刘革新,先生,72,科伦药业,制药、医药流通
521,115,-101,任正非,先生,79,华为,消费电子、电讯
521,115,-150,陶悦群,先生,63,欧普康视,医疗器械制造、销售
521,115,-7,王均豪,先生,51,均瑶,房地产、航空、零售
521,115,-90,温鹏程家族,先生,61,温氏食品,家禽养殖畜牧
521,115,142,许昆泰家族,先生,67,蓝天,消费电子产品
521,115,142,许志翰,先生,51,卓胜微,电子器件制造
521,115,-122,袁富根家族,先生,73,东山精密,精密铸件
521,115,-134,赵鸿飞,先生,49,中科创达,智能终端操作系统
